"library_id" "total_spots" "total_bases" "taxonomy_id" "ScientificName"
"SRR21360229" 1424190 213628500 1869227 "bacterium"
"SRR21359497" 1616016 242402400 1869227 "bacterium"
"SRR21359974" 399818 59972700 1869227 "bacterium"
"SRR21361026" 316149 94844700 1869227 "bacterium"
"SRR21359254" 1211310 181696500 1869227 "bacterium"
"SRR21360358" 437812 65671800 1869227 "bacterium"
"SRR21359595" 495224 74283600 1869227 "bacterium"
"SRR21359809" 53406 8010900 1869227 "bacterium"
"SRR21358306" 708698 106304700 1869227 "bacterium"
"SRR21361400" 131093 39327900 1869227 "bacterium"
"SRR21361931" 232569 69770700 1869227 "bacterium"
"SRR21360254" 1158322 173748300 1869227 "bacterium"
"SRR21359926" 1017676 152651400 1869227 "bacterium"
"SRR21360776" 595556 89333400 1869227 "bacterium"
"SRR21358726" 666950 100042500 1869227 "bacterium"
"SRR21362685" 360695 108208500 1869227 "bacterium"
"SRR21361695" 99328 29798400 1869227 "bacterium"
"SRR21363103" 970495 291148500 1869227 "bacterium"
"SRR21358536" 1646992 247048800 1869227 "bacterium"
"SRR21358652" 544312 81646800 1869227 "bacterium"
"SRR21362840" 571730 171519000 1869227 "bacterium"
"SRR21360455" 3659668 548950200 1869227 "bacterium"
"SRR21362286" 143 42900 1869227 "bacterium"
"SRR21358154" 1949580 292437000 1869227 "bacterium"
"SRR21359905" 413224 61983600 1869227 "bacterium"
"SRR21360424" 543804 81570600 1869227 "bacterium"
"SRR21358127" 883954 132593100 1869227 "bacterium"
"SRR21362021" 526477 157943100 1869227 "bacterium"
"SRR21362494" 892470 267741000 1869227 "bacterium"
"SRR21359159" 2060538 309080700 1869227 "bacterium"
"SRR21359382" 697982 104697300 1869227 "bacterium"
"SRR21360105" 92868 13930200 1869227 "bacterium"
"SRR21361157" 58772 17631600 1869227 "bacterium"
"SRR21358629" 304058 45608700 1869227 "bacterium"
"SRR21362873" 652981 195894300 1869227 "bacterium"
"SRR21358098" 1554652 233197800 1869227 "bacterium"
"SRR21358965" 1194498 179174700 1869227 "bacterium"
"SRR21358573" 4186028 627904200 1869227 "bacterium"
"SRR21360039" 2158986 323847900 1869227 "bacterium"
"SRR21359048" 2105488 315823200 1869227 "bacterium"
"SRR21360078" 296760 89028000 1869227 "bacterium"
"SRR21363002" 916715 275014500 1869227 "bacterium"
"SRR21358555" 797434 119615100 1869227 "bacterium"
"SRR21358469" 1067102 160065300 1869227 "bacterium"
"SRR21358396" 874958 131243700 1869227 "bacterium"
"SRR21359210" 995504 149325600 1869227 "bacterium"
"SRR21358886" 1148396 172259400 1869227 "bacterium"
"SRR21358482" 1148750 172312500 1869227 "bacterium"
"SRR21359292" 1460566 219084900 1869227 "bacterium"
"SRR21362215" 636628 190988400 1869227 "bacterium"
"SRR21358430" 525444 78816600 1869227 "bacterium"
"SRR21361916" 283911 85173300 1869227 "bacterium"
"SRR21362598" 1049211 314763300 1869227 "bacterium"
"SRR21360021" 2804338 420650700 1869227 "bacterium"
"SRR21359019" 1820450 273067500 1869227 "bacterium"
"SRR21361405" 808929 242678700 1869227 "bacterium"
"SRR21358198" 1214752 182212800 1869227 "bacterium"
"SRR21362162" 376147 112844100 1869227 "bacterium"
"SRR21362298" 435346 130603800 1869227 "bacterium"
"SRR21363119" 421397 126419100 1869227 "bacterium"
"SRR21363074" 252170 75651000 1869227 "bacterium"
"SRR21360460" 1318558 197783700 1869227 "bacterium"
"SRR21361223" 547191 164157300 1869227 "bacterium"
"SRR21362253" 545529 163658700 1869227 "bacterium"
"SRR21362438" 480371 144111300 1869227 "bacterium"
"SRR21362031" 465722 139716600 1869227 "bacterium"
"SRR21359469" 1397496 209624400 1869227 "bacterium"
"SRR21362010" 1260356 378106800 1869227 "bacterium"
"SRR21358263" 1681542 252231300 1869227 "bacterium"
"SRR21361046" 267087 80126100 1869227 "bacterium"
"SRR21361183" 221 66300 1869227 "bacterium"
"SRR21362149" 715277 214583100 1869227 "bacterium"
"SRR21359861" 1546554 463966200 1869227 "bacterium"
"SRR21362941" 690070 207021000 1869227 "bacterium"
"SRR21359455" 3829616 574442400 1869227 "bacterium"
"SRR21358323" 2806506 420975900 1869227 "bacterium"
"SRR12182803" 314903 93102272 1869227 "bacterium"
"SRR21358607" 2103124 315468600 1869227 "bacterium"
"SRR21360787" 460223 138066900 1869227 "bacterium"
"SRR21361394" 202230 60669000 1869227 "bacterium"
"SRR21358328" 156438 23465700 1869227 "bacterium"
"SRR21359931" 769514 115427100 1869227 "bacterium"
"SRR21361869" 1213815 364144500 1869227 "bacterium"
"SRR21362302" 946824 284047200 1869227 "bacterium"
"SRR21360881" 800940 240282000 1869227 "bacterium"
"SRR21360248" 503706 75555900 1869227 "bacterium"
"SRR21359539" 675768 101365200 1869227 "bacterium"
"SRR21358108" 669448 100417200 1869227 "bacterium"
"SRR21360240" 1421248 213187200 1869227 "bacterium"
"SRR21358301" 1109128 166369200 1869227 "bacterium"
"SRR21363048" 671416 201424800 1869227 "bacterium"
"SRR21362722" 577664 173299200 1869227 "bacterium"
